Host Id,Host Name,Id,Last Review,Name,Neighbourhood,Neighbourhood Group,Reviews Per Month,Room Type,Availability 365,Calculated Host Listings Count,Latitude,Longitude,Minimum Nights,Number Of Reviews,Price,Reviews_Per-Month_Final
2787,John,2539,10/19/2018,Clean & quiet apt home by the park,Kensington,Brooklyn,0.21,Private room,365,6,40.64749,-73.97237,1,9,149,0.21
2845,Jennifer,2595,5/21/2019,Skylit Midtown Castle,Midtown,Manhattan,0.38,Entire home/apt,355,2,40.75362,-73.98377,1,45,225,0.38
4632,Elisabeth,3647,,THE VILLAGE OF HARLEM....NEW YORK !,Harlem,Manhattan,,Private room,365,1,40.80902,-73.9419,3,0,150,0
4869,LisaRoxanne,3831,7/5/2019,Cozy Entire Floor of Brownstone,Clinton Hill,Brooklyn,4.64,Entire home/apt,194,1,40.68514,-73.95976,1,270,89,4.64
7192,Laura,5022,11/19/2018,Entire Apt: Spacious Studio/Loft by central park,East Harlem,Manhattan,0.1,Entire home/apt,0,1,40.79851,-73.94399,10,9,80,0.1
7322,Chris,5099,6/22/2019,Large Cozy 1 BR Apartment In Midtown East,Murray Hill,Manhattan,0.59,Entire home/apt,129,1,40.74767,-73.975,3,74,200,0.59
7356,Garon,5121,10/5/2017,BlissArtsSpace!,Bedford-Stuyvesant,Brooklyn,0.4,Private room,0,1,40.68688,-73.95596,45,49,60,0.4
8967,Shunichi,5178,6/24/2019,Large Furnished Room Near B'way,Hell's Kitchen,Manhattan,3.47,Private room,220,1,40.76489,-73.98493,2,430,79,3.47
7490,MaryEllen,5203,7/21/2017,Cozy Clean Guest Room - Family Apt,Upper West Side,Manhattan,0.99,Private room,0,1,40.80178,-73.96723,2,118,79,0.99
7549,Ben,5238,6/9/2019,Cute & Cozy Lower East Side 1 bdrm,Chinatown,Manhattan,1.33,Entire home/apt,188,4,40.71344,-73.99037,1,160,150,1.33
7702,Lena,5295,6/22/2019,Beautiful 1br on Upper West Side,Upper West Side,Manhattan,0.43,Entire home/apt,6,1,40.80316,-73.96545,5,53,135,0.43
7989,Kate,5441,6/23/2019,Central Manhattan/near Broadway,Hell's Kitchen,Manhattan,1.5,Private room,39,1,40.76076,-73.98867,2,188,85,1.5
9744,Laurie,5803,6/24/2019,"Lovely Room 1, Garden, Best Area, Legal rental",South Slope,Brooklyn,1.34,Private room,314,3,40.66829,-73.98779,4,167,89,1.34
11528,Claudio,6021,7/5/2019,Wonderful Guest Bedroom in Manhattan for SINGLES,Upper West Side,Manhattan,0.91,Private room,333,1,40.79826,-73.96113,2,113,85,0.91
11975,Alina,6090,10/31/2018,West Village Nest - Superhost,West Village,Manhattan,0.22,Entire home/apt,0,1,40.7353,-74.00525,90,27,120,0.22
15991,Allen & Irina,6848,6/29/2019,Only 2 stops to Manhattan studio,Williamsburg,Brooklyn,1.2,Entire home/apt,46,1,40.70837,-73.95352,2,148,140,1.2
17571,Jane,7097,6/28/2019,Perfect for Your Parents + Garden,Fort Greene,Brooklyn,1.72,Entire home/apt,321,1,40.69169,-73.97185,2,198,215,1.72
18946,Doti,7322,7/1/2019,Chelsea Perfect,Chelsea,Manhattan,2.12,Private room,12,1,40.74192,-73.99501,1,260,140,2.12
20950,Adam And Charity,7726,6/22/2019,Hip Historic Brownstone Apartment with Backyard,Crown Heights,Brooklyn,4.44,Entire home/apt,21,1,40.67592,-73.94694,3,53,99,4.44
17985,Sing,7750,,Huge 2 BR Upper East  Cental Park,East Harlem,Manhattan,,Entire home/apt,249,2,40.79685,-73.94872,7,0,190,0
21207,Chaya,7801,12/28/2011,Sweet and Spacious Brooklyn Loft,Williamsburg,Brooklyn,0.07,Entire home/apt,0,1,40.71842,-73.95718,3,9,299,0.07
22486,Lisel,8024,7/1/2019,CBG CtyBGd HelpsHaiti rm#1:1-4,Park Slope,Brooklyn,1.09,Private room,347,6,40.68069,-73.97706,2,130,130,1.09
22486,Lisel,8025,1/1/2019,CBG Helps Haiti Room#2.5,Park Slope,Brooklyn,0.37,Private room,364,6,40.67989,-73.97798,1,39,80,0.37
